year,doy_start,date_start,date_end,variable,region,box_min_lat,box_max_lat,box_min_lon,box_max_lon,value_mean,value_min,value_max,value_std,n_valid_pixels,source_granule
2020,65,2020-03-05,2020-03-12,sst,Karnataka,12.0,15.0,74.0,76.0,29.832226160668252,29.14499855041504,33.665000915527344,0.389518073513828,1199,AQUA_MODIS.20200305_20200312.L3m.8D.SST.sst.4km.nc
2020,65,2020-03-05,2020-03-12,chlor_a,Kerala,8.0,12.5,74.0,77.0,0.34298424484612267,0.07409479469060898,7.300995826721191,0.687958493618977,5154,AQUA_MODIS.20200305_20200312.L3m.8D.CHL.chlor_a.4km.nc
2020,65,2020-03-05,2020-03-12,chlor_a,Karnataka,12.0,15.0,74.0,76.0,1.0529175528385533,0.18345101177692413,8.019328117370605,1.4182455319608327,1172,AQUA_MODIS.20200305_20200312.L3m.8D.CHL.chlor_a.4km.nc
2020,73,2020-03-13,2020-03-20,sst,Kerala,8.0,12.5,74.0,77.0,30.05030696549206,28.84000015258789,37.375,0.40992325859043505,5477,AQUA_MODIS.20200313_20200320.L3m.8D.SST.sst.4km.nc
2020,73,2020-03-13,2020-03-20,sst,Karnataka,12.0,15.0,74.0,76.0,29.947712359850918,28.78499984741211,31.529998779296875,0.21846335545881573,1185,AQUA_MODIS.20200313_20200320.L3m.8D.SST.sst.4km.nc
2020,73,2020-03-13,2020-03-20,chlor_a,Kerala,8.0,12.5,74.0,77.0,0.3187413814481062,0.089622363448143,6.189092636108398,0.5906814787255644,4874,AQUA_MODIS.20200313_20200320.L3m.8D.CHL.chlor_a.4km.nc
2020,73,2020-03-13,2020-03-20,chlor_a,Karnataka,12.0,15.0,74.0,76.0,1.0933328584359403,0.18777436017990112,7.487144470214844,1.3488562937203727,1140,AQUA_MODIS.20200313_20200320.L3m.8D.CHL.chlor_a.4km.nc
2020,81,2020-03-21,2020-03-28,sst,Kerala,8.0,12.5,74.0,77.0,30.59302365762423,29.399999618530273,34.72999954223633,0.3423102502271412,5464,AQUA_MODIS.20200321_20200328.L3m.8D.SST.sst.4km.nc
2020,81,2020-03-21,2020-03-28,sst,Karnataka,12.0,15.0,74.0,76.0,29.951779894285565,29.364999771118164,32.80999755859375,0.2656667889071004,1185,AQUA_MODIS.20200321_20200328.L3m.8D.SST.sst.4km.nc
2020,81,2020-03-21,2020-03-28,chlor_a,Kerala,8.0,12.5,74.0,77.0,0.2814601577450464,0.09213096648454666,16.720294952392578,0.6761560452675478,4212,AQUA_MODIS.20200321_20200328.L3m.8D.CHL.chlor_a.4km.nc
